situation,original_message,empathy_score_warmth,empathy_score_validation,rewritten_message
"Peer taking credit for work","Nice how you took credit for my work.",0.10,0.08,"I felt overlooked when my contribution wasn’t acknowledged. I’d like us to clarify ownership."
"Team conflict during review","This meeting is a waste of time.",0.05,0.05,"I’m frustrated because the discussion isn’t progressing. Can we refocus on actionable points?"
"Friend borrowing money repeatedly","You only text when you need money.",0.18,0.16,"I feel uncomfortable with the pattern of our interactions and need clearer boundaries around money."
"Partner dismissing feelings","Whatever, you’re overreacting.",0.02,0.03,"I need my feelings to be taken seriously, even if you see it differently."
"Roommate loud at night","Can you NOT be loud every night?",0.22,0.20,"I’m struggling to rest because of the noise at night. I need quiet after a certain hour."
"Customer angry about policy","Your policy is stupid and unfair.",0.06,0.06,"I’m frustrated by the policy’s impact on my situation and would like to discuss possible options."
"Missed follow-up call","You said you’d call. You didn’t.",0.12,0.10,"I was expecting the call and felt stuck when it didn’t happen. Can we reschedule?"
"Partner scrolling during dinner","Can you put the phone down for once?",0.20,0.18,"I value our time together and would like us to be fully present during meals."
"Colleague dismissive in meeting","You shut down my idea instantly.",0.15,0.14,"I felt discouraged when my idea was dismissed quickly. I’d appreciate more open discussion."
"Customer confused by instructions","Your instructions make zero sense.",0.18,0.16,"I’m having trouble following the instructions and need clearer guidance."
"Late-night work messages","Stop messaging me at midnight.",0.10,0.09,"I need clearer boundaries around work hours so I can rest and stay effective."
"Friend not respecting time","You’re ALWAYS late.",0.12,0.11,"I feel disrespected when plans start late. Punctuality is important to me."
"Project scope changed without notice","So you just changed the scope and thought I wouldn’t notice?",0.08,0.07,"I’m concerned because the project scope seems to have changed, which affects planning. Can we align on the updated expectations?"
"Colleague repeatedly interrupts","Can you stop interrupting me every time I talk?",0.18,0.16,"I’m finding it hard to finish my points when interruptions happen. I need space to complete my thoughts."
"Manager gave vague feedback","This feedback is useless. What do you actually want?",0.05,0.06,"I want to improve, but I need more specific feedback to act on. Could you clarify your expectations?"
"Peer missed handoff","You were supposed to send this yesterday.",0.10,0.09,"I was expecting the handoff yesterday and need it to move forward. When can I expect it?"
"Meeting scheduled outside availability","Why schedule meetings when I’m clearly not free?",0.12,0.10,"I noticed the meeting overlaps with my availability constraints. Can we reschedule to a workable time?"
"Repeated last-minute requests","You always dump this stuff last minute.",0.07,0.08,"I’m feeling pressured by last-minute requests and need more advance notice to deliver quality work."
"Unclear ownership on task","Why am I even doing this? Isn’t this your job?",0.09,0.08,"I’m unclear about task ownership here. Can we clarify responsibilities so nothing falls through?"
"Colleague ignoring messages","Are you just ignoring my messages now?",0.15,0.13,"I haven’t heard back yet and need a response to proceed. Please let me know when you can reply."
"Manager canceling 1:1 repeatedly","You keep canceling our 1:1s. What’s the point?",0.14,0.12,"I value our 1:1s and feel disconnected when they’re canceled. Can we prioritize a consistent time?"
"Peer pushing blame","Don’t pin this on me, I did my part.",0.11,0.10,"I want to clarify my contributions so we can focus on solving the issue together."
"Partner not helping emotionally","You’re never there when I need you.",0.12,0.14,"I feel unsupported during difficult moments and need more emotional presence from you."
"Argument about priorities","Everything else seems more important than us.",0.16,0.15,"I’m feeling sidelined and need reassurance that our relationship is a priority."
"Partner dismissing stress","It’s not that hard, stop complaining.",0.03,0.04,"I need my stress to be acknowledged, even if it seems manageable to you."
"Roommate using shared items excessively","Do you think this stuff is free or what?",0.10,0.09,"I’m concerned about shared resources being overused and need us to be more mindful."
"Friend gossiping","Nice, now everyone knows my business.",0.14,0.13,"I felt hurt that something personal was shared. I need trust and privacy in our friendship."
"Partner comparing you to others","Why can’t you be more like them?",0.05,0.06,"I feel discouraged by comparisons and need to feel accepted for who I am."
"Sibling borrowing car","You just took the car without asking again.",0.18,0.16,"I need you to ask before using the car so we can avoid conflicts."
"Partner avoiding conflict","You just shut down every time things get real.",0.12,0.11,"I want to work through issues together and need open communication, even when it’s uncomfortable."
"Friend always venting","I’m not your free therapist.",0.09,0.08,"I care about you, but I’m feeling overwhelmed and need balance in our conversations."
"Partner breaking promises","You always say you’ll change but never do.",0.06,0.07,"I’m feeling discouraged because commitments haven’t been followed through. I need consistency to rebuild trust."
"Customer angry about slow chat support","Why does chat take forever here?",0.14,0.12,"I’m frustrated by the long wait time and would appreciate faster support or an update."
"Refund partially processed","This isn’t the full amount. Fix it.",0.12,0.11,"I noticed the refund doesn’t match the full amount and need this corrected."
"Agent gave copy-paste response","Did you even read my issue?",0.16,0.14,"I want to make sure my specific issue is understood so we can resolve it effectively."
"Broken replacement item","Even the replacement is broken. Seriously.",0.08,0.07,"The replacement item also arrived damaged, and I need a reliable resolution."
"Service outage unannounced","Everything’s down and no warning. Awesome.",0.10,0.09,"I was impacted by the outage and would appreciate communication around service disruptions."
"Account locked unexpectedly","Why is my account locked for no reason?",0.13,0.12,"My account appears locked unexpectedly, and I need clarification to regain access."
"Confusing billing cycle","Your billing makes zero sense.",0.15,0.14,"I’m confused about the billing cycle and need a clear explanation."
"Warranty process too slow","This warranty process is painfully slow.",0.11,0.10,"I’m concerned about the delay in the warranty process and would like an update."
"Support keeps transferring tickets","Stop passing me around.",0.09,0.08,"I’m feeling frustrated being transferred repeatedly and would appreciate a single point of contact."
"Feature removed without notice","Why was this feature removed?",0.18,0.16,"I rely on that feature and need to understand why it was removed and what alternatives exist."
"Colleague passive-aggressive comment","Wow, thanks for the *help*.",0.22,0.20,"I felt confused by the comment and would prefer direct communication so we can collaborate better."
"Manager unrealistic expectations","Do you think I’m a machine?",0.07,0.08,"I’m concerned the expectations may not be realistic given the constraints. Can we reassess priorities?"
"Peer resists feedback","You never take feedback seriously.",0.10,0.09,"I’m trying to improve our outcomes and need openness to feedback so we can grow."
"Partner minimizing achievements","It’s not that big a deal.",0.05,0.06,"I’d like my achievements to be acknowledged because they matter to me."
"Friend always late replying","You disappear for days.",0.17,0.15,"I feel disconnected when responses take days and would appreciate clearer communication."
"Roommate leaving mess","Do you just expect me to clean this?",0.14,0.13,"I’m frustrated by the shared space being left messy and need us to clean up after ourselves."
"Partner breaking boundaries","I already told you to stop doing that.",0.11,0.10,"I need my boundaries respected and feel unheard when they’re crossed."
"Sibling constant criticism","Do you ever have anything nice to say?",0.20,0.18,"I feel discouraged by constant criticism and would appreciate more constructive feedback."
"Customer upset about chatbot","This bot is useless, get me a human.",0.06,0.07,"I’m not getting the help I need through the chatbot and would like human assistance."
"Delayed escalation","Why hasn’t this been escalated yet?",0.12,0.11,"I’m concerned this issue hasn’t been escalated and need faster resolution."
"Incorrect account info updated","You changed the wrong details.",0.14,0.12,"I noticed incorrect account details were updated and need them corrected promptly."
"Partner avoiding responsibility","Nothing is ever your fault.",0.08,0.09,"I need accountability from both of us so we can resolve issues fairly."
"Friend crossing personal limits","That was way out of line.",0.16,0.15,"I felt uncomfortable with that comment and need clearer respect for my boundaries."
"Workload piling up","This is too much, I can’t keep up.",0.09,0.10,"I’m feeling overwhelmed by the workload and need to discuss prioritization or support."
"Customer confused by refund timeline","How long does this even take?",0.18,0.16,"I’d like clarity on the refund timeline so I know what to expect."
"Git merge conflict blocked the main branch","You broke main again. Fix it now.",0.02,0.03,"The main branch is currently blocked by a merge conflict, which is impacting the team. Please prioritize resolving it and let me know if you need help."
"Unresolved merge conflicts left overnight","Why are these conflicts still here?",0.05,0.05,"I noticed the merge conflicts are still unresolved and it’s delaying progress. Can you share when this will be addressed?"
"Bug introduced in latest commit","This commit introduced bugs everywhere.",0.03,0.04,"I’m concerned that the latest commit caused multiple bugs. Let’s review it together so we can stabilize the build."
"Failing CI pipeline after push","Your push broke the pipeline.",0.04,0.05,"The pipeline started failing after the recent push, and we need it fixed to proceed. Please take a look as soon as possible."
"Code review comments ignored","Why even request a review if you ignore it?",0.06,0.06,"I noticed the review comments weren’t addressed, and they’re important for quality. Can we go through them before merging?"
"Large PR with no description","This PR is impossible to review.",0.07,0.06,"I’m having trouble reviewing this PR due to missing context. Could you add a brief description of the changes?"
"Hotfix deployed without informing team","Who deployed this without telling anyone?",0.05,0.05,"I noticed a hotfix went out without team visibility, which caused confusion. Please notify the team before deployments going forward."
"Repeated bugs from same module","How many times will this module break?",0.04,0.05,"I’m concerned about recurring issues in this module. Let’s discuss what support or refactoring might help stabilize it."
"Unclear ownership of bug","Why am I fixing bugs from your code?",0.06,0.06,"I’m unclear about ownership of this bug and want to make sure it’s handled by the right person. Can we clarify responsibility?"
"Last-minute changes before release","Why are you changing things now?",0.08,0.07,"I’m concerned about last-minute changes so close to release, as they increase risk. Can we review the impact before proceeding?"
"Missed sprint deadline","You missed the sprint again.",0.04,0.04,"I noticed the sprint commitment wasn’t met, which affects planning. Can you share what got in the way?"
"Task marked done but incomplete","This isn’t done. Don’t mark it done.",0.05,0.05,"I reviewed the task and it seems incomplete. Please update the status once the remaining items are addressed."
"Scope expanded without approval","Why did you add extra features?",0.06,0.06,"I noticed additional features were added beyond scope, which impacts timelines. Can we align before extending work?"
"Unestimated work added mid-sprint","Stop adding work randomly.",0.07,0.06,"I’m concerned about unplanned work being added mid-sprint. Let’s discuss prioritization before including new tasks."
"Deliverable missing key requirements","Did you even read the requirements?",0.03,0.04,"It looks like some key requirements were missed. Let’s review them together to ensure alignment."
"Project timeline slipping","This project is going nowhere.",0.05,0.05,"I’m worried about the project timeline slipping and want to understand blockers so we can get back on track."
"Repeated follow-ups needed for updates","Why do I have to keep chasing updates?",0.06,0.05,"I’m finding it difficult to track progress without updates. Regular check-ins would really help coordination."
"Milestone missed without notice","You didn’t even flag the delay.",0.04,0.04,"I was caught off guard by the missed milestone. Please flag delays earlier so we can adjust plans."
"Task dependencies not communicated","This blocks everyone else.",0.05,0.05,"This task is blocking others, and we need visibility on its status. Can you share an update?"
"Requirements changed late","Why are requirements changing now?",0.07,0.06,"I’m concerned about late requirement changes and their impact. Can we confirm what’s final before proceeding?"
"Slack messages left unanswered","Are you ignoring Slack?",0.10,0.08,"I haven’t heard back on Slack and need a response to move forward. Please let me know when you’re available."
"Repeated pings needed on Slack","Why do I have to ping you 5 times?",0.09,0.08,"I’m having trouble getting timely responses and it’s slowing work. Can we agree on response expectations?"
"Team member offline during core hours","You’re never online when needed.",0.08,0.07,"I’m finding it hard to collaborate during core hours. Can we align on availability?"
"Noisy background in meetings","That background noise is unbearable.",0.12,0.10,"I’m having trouble hearing due to background noise. Could you mute when not speaking?"
"Camera always off in meetings","Can you ever turn your camera on?",0.11,0.09,"Seeing faces helps collaboration, and I’d appreciate cameras on when possible during meetings."
"Multitasking during remote meetings","Are you even paying attention?",0.15,0.12,"I’m feeling concerned that attention may be divided in meetings. Full engagement would help us move faster."
"Late joins to daily standup","You’re late every standup.",0.09,0.08,"I’ve noticed repeated late joins to standup, which disrupts flow. Can we aim to start on time?"
"Unannounced absence during workday","You just disappeared for hours.",0.10,0.09,"I wasn’t sure how to reach you during the day and needed input. Please share availability updates when stepping away."
"Working from noisy location","Why work from such a loud place?",0.13,0.11,"The noise is making communication difficult. Is there a quieter setup we can use for calls?"
"Delayed async responses","Async doesn’t mean days later.",0.07,0.07,"I’m struggling with long async delays. Faster responses would help keep work moving."
"Time zone overlap ignored","You scheduled this at a bad time.",0.08,0.07,"This meeting time is challenging due to time zones. Can we find a slot that works better for everyone?"
"PR stuck waiting for review","Why hasn’t anyone reviewed this?",0.09,0.08,"This PR has been waiting for review and is blocking progress. Could someone take a look today?"
"Review feedback overly harsh","Your review was unnecessary harsh.",0.06,0.06,"I found the review tone discouraging. Clear but respectful feedback helps collaboration."
"Repeated rework due to unclear specs","Why do I keep redoing this?",0.05,0.05,"I’m frustrated by repeated rework due to unclear specs. Can we clarify requirements upfront?"
"Task priority unclear","What am I supposed to work on?",0.10,0.09,"I’m unclear on task priorities right now. Can you help me understand what’s most urgent?"
"Meeting without agenda","Why is there no agenda?",0.12,0.10,"Without an agenda it’s hard to prepare. Could we share one before meetings?"
"Long meetings with no outcomes","This meeting was pointless.",0.06,0.06,"I’m concerned the meeting didn’t result in clear actions. Can we summarize next steps?"
"Remote pair programming unresponsive","Are you even there?",0.14,0.12,"I wasn’t sure if you were available during pairing. Please let me know when you step away."
"Repeated build failures ignored","Build keeps failing. Do something.",0.05,0.05,"The build has been failing repeatedly and needs attention so we can proceed."
"Documentation not updated","Docs are completely outdated.",0.07,0.07,"I noticed the documentation doesn’t reflect recent changes. Updating it would help the team."
"Unclear decision ownership","Who even decided this?",0.08,0.07,"I’m unclear on how this decision was made. Can we clarify ownership and reasoning?"
"Overlapping work by two people","We both did the same task. Great.",0.09,0.08,"It seems there was overlapping work due to misalignment. Let’s coordinate assignments more clearly."
"Remote onboarding lacking support","No one’s helping me onboard.",0.10,0.09,"I’m struggling with onboarding remotely and need more guidance to get up to speed."
"Unexpected production issue at night","Why is this breaking at night again?",0.06,0.06,"I’m concerned about recurring off-hours production issues. Can we review root causes to prevent this?"
